hour,minute,day,month,year,site_id_ttl,irradiance_wm2,rainfall_mm,relative_humidity_pct,sea_level_pressure_hpa,temperature_c,visibility_km,wind_speed_ms,normalized_generation
0,0,1,1,2023,SQ1,9.276,0.0,67.271,1009.86913,14.363,15.981,3.9004,0.0000000000000000000
0,15,1,1,2023,SQ1,9.1652,0.0,68.749,1009.89913,14.039,15.981,2.5704,0.0000000000000000000
0,30,1,1,2023,SQ1,9.0547,0.0,69.488,1009.94913,13.983,15.981,2.8838,0.0000000000000000000
0,45,1,1,2023,SQ1,9.1651,0.0,69.812,1009.92913,13.882,15.981,3.0361,0.0000000000000000000
1,0,1,1,2023,SQ1,8.834,0.0,70.294,1009.89913,13.692,15.981,3.0719,0.0000000000000000000
1,15,1,1,2023,SQ1,8.8342,0.0,71.167,1009.82913,13.647,15.981,3.6406,0.0000000000000000000
1,30,1,1,2023,SQ1,8.8344,0.0,70.977,1009.78913,13.49,15.981,4.0078,0.0000000000000000000
1,45,1,1,2023,SQ1,8.8346,0.0,72.242,1009.74913,13.233,15.981,3.5264,0.0000000000000000000
2,0,1,1,2023,SQ1,8.6138,0.0,72.611,1009.66913,13.02,15.978,3.7459,0.0000000000000000000
2,15,1,1,2023,SQ1,8.6141,0.0,72.275,1009.63913,12.93,15.976,4.7019,0.0000000000000000000
2,30,1,1,2023,SQ1,8.6143,0.0,72.264,1009.63913,12.83,15.976,3.3496,0.0000000000000000000
2,45,1,1,2023,SQ1,8.6145,0.0,72.085,1009.56913,12.718,15.976,4.8743,0.0000000000000000000
3,0,1,1,2023,SQ1,8.8355,0.0,72.902,1009.57913,12.695,15.975,4.5452,0.0000000000000000000
3,15,1,1,2023,SQ1,8.8356,0.0,73.462,1009.49913,12.762,15.976,5.5259,0.0000000000000000000
3,30,1,1,2023,SQ1,8.946,0.0,72.768,1009.51913,12.695,15.976,3.6988,0.0000000000000000000
3,45,1,1,2023,SQ1,8.946,0.0,72.107,1009.49913,12.718,15.976,5.1945,0.0000000000000000000
4,0,1,1,2023,SQ1,9.6088,0.0,73.126,1009.52913,12.516,15.976,4.0123,0.0000000000000000000
4,15,1,1,2023,SQ1,9.6087,0.0,72.533,1009.51913,12.46,15.976,6.0946,0.0000000000000000000
4,30,1,1,2023,SQ1,9.3874,0.0,71.324,1009.53913,12.382,15.976,4.4221,0.0000000000000000000
4,45,1,1,2023,SQ1,9.6086,0.0,70.887,1009.53913,12.404,15.974,6.6051,0.0000000000000000000
5,0,1,1,2023,SQ1,9.4982,0.0,71.94,1009.57913,12.303,15.975,4.2676,0.0000000000000000000
5,15,1,1,2023,SQ1,9.3877,0.0,73.193,1009.76913,12.035,15.976,4.2564,0.0000000000000000000
5,30,1,1,2023,SQ1,9.4981,0.0,72.163,1009.73913,12.27,15.976,4.178,0.0000000000000000000
5,45,1,1,2023,SQ1,9.8296,0.0,72.925,1009.67913,12.203,15.976,4.8788,0.0000000000000000000
6,0,1,1,2023,SQ1,9.8295,0.0,73.059,1009.76913,12.091,15.971,4.7221,0.0000000000000000000
6,15,1,1,2023,SQ1,9.7191,0.0,73.585,1009.80913,12.035,15.712,4.3594,0.0000000000000000000
6,30,1,1,2023,SQ1,9.94,0.0,74.618,1009.87913,12.003,15.434,4.0304,0.0000000000000000000
6,45,1,1,2023,SQ1,10.05,0.0,74.112,1009.80913,12.058,15.581,4.2072,0.0000000000000000000
7,0,1,1,2023,SQ1,11.155,0.0,73.353,1009.78913,12.16,15.838,2.0712,0.0000000000000000000
7,15,1,1,2023,SQ1,14.026,0.0,75.019,1009.74913,12.203,15.667,2.7294,0.0001811594202898000
7,30,1,1,2023,SQ1,21.315,0.0,72.947,1009.80913,12.315,15.975,3.8959,0.0047101449275362001
7,45,1,1,2023,SQ1,49.478,0.0,72.175,1009.80913,12.572,15.975,4.4556,0.0142753623188405006
8,0,1,1,2023,SQ1,83.826,0.0,71.044,1009.86913,12.953,15.976,3.4033,0.0226811594202897988
8,15,1,1,2023,SQ1,63.724,0.0,70.395,1009.97913,13.277,15.978,3.7615,0.0136956521739129995
8,30,1,1,2023,SQ1,91.223,0.0,70.249,1009.94913,13.49,15.98,2.5659,0.0292753623188404984
8,45,1,1,2023,SQ1,147.77,0.0,69.891,1010.02913,13.725,15.981,3.8601,0.0441304347826085991
9,0,1,1,2023,SQ1,141.69,0.0,67.562,1010.07913,14.229,15.981,2.8346,0.0481521739130433973
9,15,1,1,2023,SQ1,175.36,0.0,67.215,1010.11913,14.509,15.981,2.9398,0.0374637681159420005
9,30,1,1,2023,SQ1,195.56,0.0,65.816,1010.15913,14.766,15.981,3.5309,0.0751811594202898004
9,45,1,1,2023,SQ1,241.72,0.0,62.961,1010.11913,15.259,15.981,3.457,0.0874637681159420033
